license_id,address
str-01025l,3963 n mission blvd 92109
str-01643l,6767 neptune pl #106 92037
str-02969l,640 bollenbacher st 92114
str-05826l,8461 pallux wy 92126
str-02194l,3410 borreson st 92117
str-02049l,6979 bobhird dr 92119
str-04217l,727 tangiers court 92109
str-02151l,3552 meade ave 92116
str-00247l,3253 ocean front walk 92109
str-04789l,736 york court 92109
str-05041l,3607 ocean front walk #4 92109
str-01306l,1985 n avenida de la cruz ave 92173
str-05067l,3553 strandway 92109
str-04377l,1906 willow st 92106
str-01485l,825 10th ave 92101
str-04685l,1437 university ave #1 92103
str-04614l,3676 orange ave 92104
str-00672l,4814 west mountain view dr 92116
str-05936l,3962 sequoia st 92109
str-04707l,417 gravilla st #1/2 92037
str-00820l,3712 oleander pl 92106
str-00234l,4916 lillian st 92110
str-02193l,3700 3rd ave #1 92103
str-00468l,3843 riviera dr #no. 3 92109
str-00128l,3429 browning st 92106
str-02016l,2630 6th ave #1 92103
str-00773l,3349 riviera dr 92109
str-00030l,968 rosecrans st 92106
str-03744l,6436 camino de la costa 92037
str-02132l,850 felspar st #b 92109
str-02600l,5381 calumet ave 92037
str-00459l,4525 voltaire st 92107
str-02019l,4473 n marlborough ave #1 92116
str-02177l,2006 olite court 92037
str-02898l,861 emerald st #1 92109
str-02831l,2687 ocean front walk 92109
str-01054l,2963 bayside ln 92109
str-02444l,6637 la jolla blvd 92037
str-01960l,5453 mildred st #a 92110
str-04620l,1511 missouri 92109
str-00166l,5757 streamview dr 92105
str-04769l,3238 island ave ave 92102
str-05827l,6375 cabaret st 92120
str-01676l,4029 national ave 92113
str-00194l,4151 mission blvd blvd #203 92109
str-00191l,11437 normanton wy 92131
str-05212l,1785 torrance st 92103
str-01944l,1147 koe st 92114
str-00980l,6242 pasatiempo ave 92120
str-01310l,1566 santa barbara st st 92107
str-01779l,2222 bahia dr 92037
str-02304l,3427 herbert st 92103
str-02006l,7885 hemingway ave 92120
str-03329l,4767 ocean blvd #1003 92109
str-02908l,2355 front street st #3 92101
str-03354l,814 devon court 92109
str-01335l,968 law st #a 92109
str-02411l,2531 34th st 92104
str-02523l,3702 christine st 92117
str-00370l,2434 saipan dr 92139
str-04684l,3330 bayside walk 92109
str-03978l,1769 san diego ave #6 92110
str-00299l,2110 30th st 92104
str-01693l,1119 felspar st 92109
str-01716l,2130 garnet ave 92109
str-01799l,3074 naylor rd 92173
str-05187l,2628 worden st #158 92110
str-00799l,4667 ocean blvd #113 92109
str-04413l,5084 brighton ave 92107
str-01487l,1242 grand ave 92109
str-00437l,343 w date st 92101
str-00027l,6773 clear sky trails 92120
str-01884l,4203 arguello st 92103
str-01909l,4405 central ave 92116
str-01952l,942 newkirk dr 92037
str-02244l,4193 arden wy 92103
str-03175l,1695 state st 92101
str-02883l,960 reed ave #2 92109
str-01622l,6425 electric ave 92037
str-02707l,725 ostend court 92109
str-03917l,1601 missouri st 92109
str-03072l,714 avalon court #b 92109
str-04098l,3929 santa nella pl 92130
str-03690l,4638 del monte ave 92107
str-01556l,9101 overton ave 92123
str-01637l,1141 sapphire st 92109
str-00596l,5045 narragansett ave #5 92107
str-01875l,1035 nw hornblend st 92109
str-01677l,4767 ocean blvd #509 92109
str-00178l,4517 mount henry ave 92117
str-02133l,3711 baker st 92117
str-03441l,810 pismo court 92109
str-02799l,839 jamaica court 92109
str-02368l,4895 muir ave 92107
str-03086l,1452 reed ave 92109
str-04790l,731 balboa court 92109
str-01687l,2801 ocean front walk #b 92109
str-03687l,818 san jose pl 92109
str-01723l,4465 ocean blvd #7 92109
str-02463l,623 genter st 92037
str-02532l,18452 bernardo trails court 92128
str-04116l,718 queenstown court 92109
str-05185l,3449 ocean front walk #1 92109
str-01891l,1349 hornblend st #1 92109
str-01262l,1207 via barranca 92037
str-01076l,6191 arno dr 92120
str-01138l,4727 iroquois ave 92117
str-05316l,2310 irving ave 92113
str-02099l,2010 reed ave 92109
str-03033l,3761 29th st 92104
str-00778l,1616 chalcedony st 92109
str-00034l,4730 ingraham st 92109
str-04419l,5050 voltaire st 92107
str-02056l,6047 sw creighton way wy 92114
str-01288l,5026 long branch ave 92107
str-04395l,735 san fernando pl #c 92109
str-05332l,4656 hawley blvd 92116
str-03623l,4316 bayard st 92109
str-02981l,717 ensenasda court 92109
str-05812l,5131 hilda rd 92110
str-04115l,1544 chalcedony st 92109
str-04842l,3845 mission blvd 92109
str-03954l,3504 41st st 92105
str-00341l,4767 ocean blvd #203 92109
str-01482l,817 santa barbara pl 92109
str-00907l,2965 mission blvd #3b 92109
str-00130l,4767 ocean blvd #905 92109
str-01748l,1905 31st 92102
str-03836l,3745 riviera dr #7 92109
str-01843l,1215 park rw 92037
str-00493l,2024 boundary st 92104
str-02014l,7722 roseland dr 92037
str-02196l,1243 trieste dr 92107
str-03799l,2321 harrison ave 92113
str-01087l,3896 ampudia st 92110
str-02891l,960 reed ave #4 92109
str-02520l,4926 crystal dr 92109
str-00469l,2633 ocean front walk 92109
str-01254l,1270 weaver st 92114
str-02266l,2423 l st 92102
str-05807l,4317 piedmont dr 92107
str-03570l,447 westbourne st 92037
str-01774l,1430 monitor rd 92110
str-04948l,437 w elm st 92101
str-02336l,3818 adams ave 92116
str-02197l,3700 3rd ave #2 92103
str-00709l,804 monterey court 92109
str-03464l,3502 herman ave 92104
str-00624l,712 tangiers court 92109
str-00548l,858 armada trails 92106
str-00228l,5059 niagara ave #7 92107
str-01568l,6435 dowling dr 92037
str-01616l,1713 granada ave 92102
str-01647l,5061 savannah st 92110
str-01114l,4151 mission blvd #214 92109
str-02597l,4079 fanuel st 92109
str-02279l,2426 wightman st 92104
str-00670l,2019 b st 92102
str-02556l,5076 s muir ave ave 92107
str-01983l,312 rosemont st 92037
str-02106l,3529 union st 92103
str-03407l,805 jersey court 92109
str-02078l,722 sunset court 92109
str-05983l,3041 comstock st 92111
str-00374l,7452 draper ave 92037
str-02485l,2344 ridge view dr 92105
str-03109l,1630 edgemont st 92102
str-03542l,2238 del mar heights rd 92014
str-02568l,3561 31st st 92104
str-01607l,3021 dardaina dr 92139
str-01850l,1139 madison ave 92116
str-01346l,1012 w briarfield dr 92109
str-00515l,5041 narragansett ave #5 92107
str-05065l,14778 via campestre 92014
str-00554l,7209 la jolla blvd #2 92037
str-04658l,421 17th st 92101
str-04589l,2284 congress st 92110
str-01496l,251 westbourne st 92037
str-03596l,2745 strandway 92109
str-01473l,3750 bayside walk #12 92109
str-05078l,4210 cleveland ave 92103
str-02302l,6444 el camino del teatro 92037
str-03311l,4667 ocean blvd #112 92109
str-02359l,4824 bayard st 92109
str-04532l,3971 del mar ave 92107
str-00935l,8003 ocean ln 92037
str-05055l,4073 gresham st #4 92109
str-02243l,3218 bayside walk #b 92109
str-01747l,951 14th st 92154
str-00835l,744 ensenada court 92109
str-04499l,5129 w point loma blvd 92107
str-01667l,3391 ocean front walk #c 92109
str-00342l,4767 ocean blvd #501 92109
str-00877l,725 rockaway court 92109
str-03498l,1769 san diego ave #1 92110
str-01730l,3753 oceanfront walk #2 92109
str-02675l,2035 lowry pl 92037
str-01415l,4960 foothill blvd 92109
str-05263l,1344 beryl st 92109
str-03176l,4066 newton ave 92113
str-04767l,1750 robinson ave 92103
str-01652l,4667 ocean blvd. blvd #202 92109
str-03911l,3667 ocean front walk 92109
str-03838l,6669 la jolla blvd 92037
str-02801l,716 dover court 92109
str-00884l,840 pismo court 92109
str-03642l,726 ensenada court 92109
str-04187l,3808 03rd ave 92103
str-03712l,3467 columbia st 92103
str-02064l,1442 chalcedony st 92109
str-00904l,8114 camino del sol 92037
str-02158l,2140 reed ave 92109
str-01763l,11483 westonhill dr 92126
str-01873l,1778 pacific beach dr 92109
str-05300l,3772 oneida pl 92103
str-03106l,2192 cardinal dr 92123
str-03535l,2250 imperial ave 92102
str-01635l,3491 ocean front walk 92109
str-03874l,1219 oliver ave #- 92109
str-02621l,1816 diamond st 92109
str-02692l,12811 calle de las rosas 92129
str-04560l,2019 mendocino blvd 92107
str-04125l,805 deal court 92109
str-00931l,535 university pl 92103
str-04649l,3366 a st 92102
str-01551l,4720 jean dr 92115
str-03430l,6440 madrone ave 92114
str-00813l,4931 santa cruz ave 92107
str-04504l,1919 abbott st diego ca 92107
str-04474l,430 20th st 92102
str-01298l,3065 e st 92102
str-01069l,302 bonair st 92037
str-01601l,548 jewell dr 92113
str-02140l,1325 coast blvd 92037
str-02994l,1521 kettner blvd 92101
str-01477l,7256 rue michael 92037
str-02072l,4358 felton st #1 92104
str-01050l,3595 ocean front walk 92109
str-00810l,818 capistrano pl 92109
str-05335l,9175 hector ave 92123
str-02791l,4746 del monte ave 92107
str-02330l,3619 lark st 92103
str-02590l,3838 3838 kendall street st 92109
str-02631l,732 deal court #b 92109
str-03670l,3650 crown point dr 92109
str-04799l,1892 titus st 92110
str-04353l,816 jamaica court 92109
str-02575l,5131 savannah st 92110
str-02602l,730 san luis rey pl 92109
str-04386l,3133 ingelow st 92106
str-00141l,4611 cheshire st 92117
str-04822l,2254 del mar heights rd 92014
str-01416l,4863 ocean blvd 92109
str-02159l,457 coast blvd #302 92037
str-00175l,4775 home ave #b 92105
str-03294l,5024 saratoga ave 92107
str-01931l,1007 cypress ave 92103
str-02030l,1315 pacific beach dr 92109
str-02138l,332 20th st 92102
str-00715l,805 brighton court 92109
str-05331l,2617 minorca way 92014
str-00811l,812 w san luis obispo pl #b 92109
str-01901l,728 windemere court 92109
str-03262l,7934 la jolla shores dr 92037
str-02355l,2263 sunset cliffs blvd 92107
str-03743l,2753 hornblend st 92109
str-00998l,292 bonair st 92037
str-03915l,9048 hillery dr 92126
str-04267l,1318 oliver ave 92109
str-00714l,1278 pacific beach dr #8 92109
str-01596l,730 brighton court 92109
str-03122l,118 hensley st 92102
str-04606l,717 kingston court #1/2 92109
str-01547l,6846 6846 draper ave ave 92037
str-05296l,1711 missouri st 92109
str-05304l,4634 arizona st 92116
str-01940l,4465 ocean blvd #34 92109
str-05012l,4866 del mar ave 92107
str-03503l,109 w montecito wy #b 92103
str-03842l,4298 manzanita dr 92105
str-01339l,2555 ardath rd 92037
str-03144l,830 missouri st #1 92109
str-02211l,1411 oliver ave 92109
str-01813l,3391 mission blvd 92109
str-03019l,2595 ocean front walk #6 92109
str-04374l,2529 monroe ave 92116
str-03939l,3003 reynard wy 92103
str-03330l,122 w brookes ave 92103
str-03516l,3443 ocean front walk #g 92109
str-02846l,3888 riviera dr #203 92109
str-01520l,847 opal st 92109
str-05020l,4580 point loma ave 92107
str-02970l,1714 galveston st 92110
str-01571l,3375 ocean front walk 92109
str-02401l,812 san rafael pl 92109
str-01614l,1210 bittern st 92114
str-01700l,806 w brookes ave 92103
str-01731l,1872 sparks pl 92110
str-05311l,8418 hovenweep court 92129
str-02464l,4461 ocean blvd #17 92109
str-02629l,6380 osler 92111
str-02276l,1037 hornblend st 92109
str-01101l,3514 32nd st 92104
str-00372l,719 san luis obispo pl 92109
str-03288l,4215 everts st 92109
str-02796l,818 vanitie court #1 92109
str-05022l,6951 otis court 92111
str-04410l,814 allerton court #2 92109
str-02134l,3637 warner st 92106
str-03662l,4020 32nd st 92104
str-00819l,3092 cedar st 92102
str-04192l,716 tangiers court 92109
str-02434l,4465 ocean blvd #71 92109
str-04122l,2175 cowley wy 92110
str-00830l,4985 ocean blvd 92109
str-00137l,728 ostend court 92109
str-03509l,1769 san diego ave #3 92110
str-01384l,815 1/2 coronado court 92109
str-01773l,3344 talbot st 92106
str-01825l,3525 felton st 92104
str-04053l,3914 gresham st 92109
str-04171l,245 prospect st #3 92037
str-00393l,2060 catalina blvd 92107
str-00028l,655 loring st 92109
str-01789l,1241 prospect st #10 92037
str-00536l,12817 via latina 92014
str-05329l,12546 cabezon pl 92129
str-01287l,5024 long branch ave 92107
str-00731l,719 jersey court 92109
str-03201l,3888 riviera dr #206 92109
str-00252l,1975 frankfort st 92110
str-01975l,1777 plum st 92106
str-05009l,976 felspar #1/2 92109
str-01804l,4862 long branch ave 92107
str-03054l,826 dover court 92109
str-02476l,7920 badami cr 92126
str-03625l,6718 north elman st 92111
str-02303l,2604 landis st 92104
str-01654l,4300 newton ave #59 92113
str-04941l,429 w elm st 92101
str-00185l,130 w lewis st 92103
str-00748l,3531 ocean front walk 92109
str-02397l,725 redondo court #38 92109
str-00033l,813 ostend court 92109
str-00246l,3243 ocean front walk #4 92109
str-02848l,750 whiting court #11 92109
str-05226l,3785 ocean front walk #1 92109
str-00644l,3711 mississippi st 92104
str-01321l,3916 bayside 92109
str-01349l,5280 soledad rancho court 92109
str-01411l,4450 60th st 92115
str-03929l,3798 belford st 92111
str-02733l,3993 georgia st 92103
str-04311l,7435 draper ave 92037
str-05552l,2862 state st 92103
str-01044l,2941 ocean front walk 92109
str-03269l,3671 ocean front walk # 92109
str-00797l,814 balboa court 92109
str-03334l,3874 bayside ln 92109
str-01233l,726 niantic court 92109
str-01701l,3448 pershing ave 92104
str-05312l,3831 basilone st #4 92110
str-00048l,4648 milton st 92110
str-03134l,5420 chelsea ave 92037
str-02738l,4239 whittier st 92107
str-01893l,1252 lincoln ave 92103
str-04284l,3510 buena vista st 92109
str-04926l,2282 1/2 congress st 92110
str-01479l,1059 johnson ave 92103
str-03946l,2660 mission blvd #6 92109
str-02604l,151 w kalmia st #6 92101
str-02863l,1025 guizot st 92107
str-00376l,2999 mission blvd #303 92109
str-04095l,3865 cadden way wy 92117
str-05018l,708 liverpool court 92109
str-01223l,720 tangiers court 92109
str-00492l,1235 sassafras st 92103
str-00253l,4110 kansas st 92104
str-02503l,3755 ocean front pl diego ca 92109
str-04830l,2076 newton ave 92113
str-05247l,4305 niagara ave 92107
str-01286l,4225 florida st #10 92104
str-03896l,3853 sequoia st 92109
str-02226l,808 balboa court 92109
str-02882l,750 whiting court #9 92109
str-04738l,816 santa barbara pl 92109
str-01227l,14242 14242 via michelangelo 92129
str-01328l,3956 centre st 92103
str-04456l,3767 mississippi st 92104
str-04969l,1027 essex st #a 92103
str-03488l,5170 brighton ave 92107
str-04051l,2915 30th st 92104
str-05996l,714 kettner blvd 92101
str-03400l,1775 diamond st #212 92109
str-01597l,4909 orchard ave #105 92107
str-01117l,4936 del monte ave 92107
str-00874l,727 rockaway court 92109
str-04850l,3391 ocean front walk #d 92109
str-02986l,2663 ocean front walk #1 92109
str-01501l,3285 ocean front walk #3 92109
str-03706l,3591 ocean front walk 92109
str-01800l,3462 bayside walk 92109
str-01461l,821 toulon court 92109
str-04804l,3476 monroe ave #11 92116
str-05991l,641 ne 641 vista santa rosalia #1 92154
str-01469l,4581 pocahontas ave 92117
str-01504l,4231 appleton st 92117
str-02456l,5043 saratoga ave 92107
str-01740l,8336 paseo del ocaso 92037
str-01435l,3360 dale st 92104
str-03590l,4816 santa monica ave 92107
str-00485l,815 ostend court 92109
str-00075l,1837 spalding pl 92116
str-02603l,722 coronado court 92109
str-02548l,5731 waring rd 92120
str-03120l,5787 waverly ave 92037
str-04808l,4073 gresham st #3 92109
str-03991l,7272 dune ln 92037
str-02515l,4359 cleveland ave 92103
str-04893l,6667 la jolla ave #1/2 92037
str-00010l,8481 el paseo grande 92037
str-04728l,750 whiting court #10 92109
str-05319l,4927 saratoga ave 92107
str-01213l,5536 via callado 92037
str-04987l,804 tourmaline st 92109
str-02107l,3511 dickens st 92106
str-04956l,4984 cresita dr 92115
str-02948l,1025 island ave #602 92101
str-03549l,2926 polk ave 92104
str-02458l,3764 bayside ln #3 92109
str-02513l,3678 herbert st 92103
str-03042l,841 isthmus court 92109
str-01334l,7443 fay ave 92037
str-01428l,4731 33rd st 92116
str-04481l,3030 state st 92103
str-03877l,1217 oliver ave 92109
str-03984l,817 1/2 island court 92109
str-02663l,6613 alcala knolls dr 92111
str-03002l,719 ensenada court 92109
str-04664l,3656 bayside walk #b 92109
str-04543l,5069 1/2 long branch ave 92107
str-00385l,4667 ocean blvd #301 92109
str-02407l,808 jamaica court 92109
str-01245l,4503 bond st san diego 92109
str-01518l,1716 30th st 92102
str-02033l,5077 w point loma blvd #5077 92107
str-00211l,824 toulon court 92109
str-01814l,1615 cypress ave 92103
str-05302l,3730 marzo st 92154
str-02745l,3994 iowa st 92104
str-00594l,5037 narragansett ave #4 92107
str-02115l,2526 horton ave 92101
str-02396l,2037 national ave 92113
str-04305l,454 454 fern gln 92037
str-01929l,717 law st 92109
str-01007l,346 westbourne st 92037
str-02321l,4864 santa monica ave #a 92107
str-02447l,3925 nobel dr #27 92122
str-02543l,2730 1st st #103 92103
str-02585l,4826 orchard ave #b 92107
str-05822l,3613 arnold ave 92104
str-01997l,4654 boundary st 92116
str-03533l,9016 keir st 92123
str-00926l,974 law st #b 92109
str-01107l,2611 w inyaha ln 92037
str-02075l,4503 1/2 bond st 92109
str-02017l,3275 ocean front walk #2 92109
str-04627l,735 san fernando pl diego ca 92109
str-00678l,3243 columbia st 92103
str-05254l,1614 minden dr 92111
str-04612l,3843 riviera dr 92109
str-05912l,4658 lotus st 92107
str-04332l,5651 gaines st 92110
str-05943l,4990 quincy st 92109
str-05968l,714 ensenada court 92109
str-01440l,2928 felton st 92104
str-04755l,12747 cijon st 92129
str-03531l,5176 brighton ave 92107
str-04307l,5649 gaines st 92110
str-02640l,4879 long branch ave 92107
str-04846l,300 w beech st #1606 92101
str-04727l,417 gravilla st 92037
str-05967l,3778 udall st 92107
str-05990l,4626 wilson ave 92116
str-02111l,813 40th st 92102
str-00467l,834 ormond court 92109
str-01385l,3812 bayside ln 92109
str-00053l,8034 la jolla shores dr 92037
str-00242l,1514 bancroft street st 92102
str-01574l,2154 emerald st 92109
str-00614l,4959 brighton ave 92107
str-02296l,2023 bacon st 92107
str-04750l,6712 tyrian st 92037
str-03233l,4667 ocean blvd #206 92109
str-00772l,1319 park rw 92037
str-03855l,1309 29th st 92102
str-05815l,3515 n caminito el rincon rd #289 92130
str-02670l,727 windemere court #c 92109
str-03493l,710 whiting ave 92109
str-04602l,717 kingston court 92109
str-03789l,3777 louisiana st 92104
str-00541l,2727 ocean front walk 92109
str-03261l,723 chalcedony st #723 92109
str-01500l,6527 eider st 92114
str-04901l,5446 via alcazar 92111
str-03537l,3651 jewell st 92109
str-04868l,1525 2nd ave #304 92101
str-01721l,1185 sunset cliffs blvd 92107
str-01319l,3818 riviera dr 92109
str-03057l,7228 werner st 92122
str-00522l,5041 narragansett ave #1 92107
str-03404l,895 felspar st 92109
str-01129l,1633 mecca dr 92037
str-04718l,6127 beaumont ave 92037
str-02428l,3712 wilson ave 92104
str-03947l,2112 balboa ave #7 92109
str-01532l,4970 longford st 92117
str-00663l,4775 academy pl 92109
str-04704l,6018 madra ave 92120
str-02646l,2369 etiwanda st 92107
str-03478l,3519 menlo ave 92105
str-02363l,5127 muir ave 92107
str-00181l,2070 chicago st 92110
str-01474l,845 opal 92109
str-00066l,2965 ocean front walk #1 92109
str-00088l,3525 lebon dr #13 92122
str-01544l,6616 crabtree st 92114
str-05295l,2232 adams ave 92116
str-01081l,7096 birch creek rd 92119
str-02500l,4909 orchard ave #303 92107
str-02190l,3528 lark st 92103
str-03933l,4050 albatross st #4046 92103
str-04659l,2917 k st 92102
str-01784l,1241 prospect st #3 92037
str-00539l,8390 prestwick dr 92037
str-00204l,5656 la jolla blvd #4 92037
str-02137l,1676 neale st #1674 92103
str-01914l,2660 bayside walk 92109
str-01510l,4691 del mar ave 92107
str-00737l,13069 via latina 92014
str-00832l,1403 grand ave 92109
str-01365l,1064 grand ave #2 92109
str-02057l,719 kennebeck court 92109
str-03271l,3673 ocean front walk walk 92109
str-02656l,6515 acorn st 92115
str-02989l,703 law st #1 92109
str-00044l,817 kennebeck court #817 92109
str-03377l,4111 03rd ave #4111 92103
str-02333l,680 w beech st #5 92101
str-01776l,3217 n columbia st #8 92103
str-03238l,719 whiting court 92109
str-01611l,7447 fay ave 92037
str-05301l,8137 thistle court 92120
str-00595l,5037 narragansett ave #3 92107
str-00611l,5041 narragansett ave #6 92107
str-01425l,6449 dowling dr 92037
str-01765l,13083 caminito del rocio #91 92014
str-01919l,1444 granada ave 92102
str-01095l,822 capistrano pl 92109
str-04876l,815 san jose pl 92109
str-00626l,815 santa barbara pl 92109
str-01530l,6461 beaver lake court 92119
str-03565l,3301 meridian ave 92115
str-05835l,2177 cowley wy 92110
str-05836l,2821 imperial ave 92102
str-05109l,3005 broadway 92102
str-05858l,448 sea ln 92037
str-03900l,730 asbury court 92109
str-05879l,6324 la pintura dr 92037
str-02273l,4767 ocean blvd #1011 92109
str-04577l,3519 30th st 92104
str-03178l,4111 bayard st 92109
str-02347l,1724 ocean front st #4 92107
str-01787l,1241 prospect st #6 92037
str-01732l,8020 el paseo grande 92037
str-02135l,4129 front st #c 92103
str-02246l,3228 33rd st 92104
str-00339l,3659 ocean front walk 92109
str-01480l,2630 6th ave #2 92103
str-00363l,6222 danbury wy 92120
str-04047l,4770 del mar ave 92107
str-02766l,4630 pescadero ave 92107
str-03840l,911 diamond st 92109
str-00362l,2692 c st #1 92102
str-01853l,3495 oceanfront walk 92109
str-00673l,748 zanzibar court 92109
str-01753l,2727 ariane dr #167 92117
str-05336l,3511 tony dr 92122
